latitude,longitude,timestamp,speed,zone_id,SOS
27.409116799790546,88.64223096825158,2025-09-14 22:28:01,1.07,4,0
27.23904818025376,88.47529742262935,2025-09-14 22:33:01,1.12,1,0
27.22175652422068,88.59771170712116,2025-09-14 22:38:01,2.65,4,0
27.29836647709784,88.70742660286889,2025-09-14 22:43:01,4.34,1,0
27.474401638131773,88.64948540661027,2025-09-14 22:48:01,3.57,5,0
27.28084679813285,88.44264033644815,2025-09-14 22:53:01,3.04,2,0
27.249043468823075,88.70764089988246,2025-09-14 22:58:01,2.29,4,0
27.321964790289982,88.62216296301611,2025-09-14 23:03:01,1.1,3,0
27.39627030108998,88.67733701153715,2025-09-14 23:08:01,2.36,2,0
27.2683067321287,88.66403078396453,2025-09-14 23:13:01,3.78,1,0
27.47569049836936,88.63630406093208,2025-09-14 23:18:01,4.54,4,0
27.32993569088048,88.61517795309666,2025-09-14 23:23:01,5.89,2,0
27.399632143675678,88.69622439764501,2025-09-14 23:28:01,4.78,4,1
27.397038592897427,88.64816176921609,2025-09-14 23:33:01,1.04,1,0
27.358618341316873,88.69323346280059,2025-09-14 23:38:01,2.16,1,0
27.277257897739737,88.64884291518801,2025-09-14 23:43:01,3.64,1,0
27.33733132687195,88.58288273381248,2025-09-14 23:48:01,3.95,2,1
27.285537160019796,88.66909244498248,2025-09-14 23:53:01,5.77,5,0
27.31040816033757,88.78567029275824,2025-09-14 23:58:01,0.82,3,0
27.373575388184868,88.64987124797851,2025-09-15 00:03:01,3.35,5,0
27.446785994723825,88.65813467938443,2025-09-15 00:08:01,5.22,2,0
27.35145543532577,88.59196050943906,2025-09-15 00:13:01,3.69,4,0
27.330023760344186,88.6338680165564,2025-09-15 00:18:01,0.37,1,0
27.247491223532247,88.46363938967497,2025-09-15 00:23:01,5.13,2,0
27.323327915115783,88.59441854554447,2025-09-15 00:28:01,5.77,4,0
27.36530274124017,88.70667588345376,2025-09-15 00:33:01,2.56,5,0
27.34458109117357,88.58465760908554,2025-09-15 00:38:01,5.13,2,0
27.347574365677197,88.80027935489457,2025-09-15 00:43:01,4.73,4,0
27.224683445361382,88.7591318781256,2025-09-15 00:48:01,5.46,3,0
27.414980550719434,88.64800852151443,2025-09-15 00:53:01,5.5,4,0
27.33838242635482,88.6546212399484,2025-09-15 00:58:01,1.53,5,0
27.35911588869549,88.60954046898817,2025-09-15 01:03:01,2.64,5,0
27.466201068363805,88.56242690510126,2025-09-15 01:08:01,1.65,5,0
27.346418458184697,88.78619822577217,2025-09-15 01:13:01,1.29,2,0
27.39064358556044,88.75286198513439,2025-09-15 01:18:01,2.63,5,0
27.28428182629915,88.631219466956,2025-09-15 01:23:01,0.96,3,0
27.33884205581544,88.65705185452796,2025-09-15 01:28:01,1.3,1,0
27.269723758260238,88.64763439414408,2025-09-15 01:33:01,1.66,3,0
27.28085040381928,88.72073840056737,2025-09-15 01:38:01,1.49,2,0
27.211615870230137,88.512534609506,2025-09-15 01:43:01,2.11,1,0
27.331176613333096,88.61400161534165,2025-09-15 01:48:01,4.53,1,0
27.451846725484955,88.54147568605795,2025-09-15 01:53:01,2.13,2,0
27.44105447111595,88.60903978933608,2025-09-15 01:58:01,1.82,1,0
27.237715139238546,88.5054710596998,2025-09-15 02:03:01,2.02,2,0
27.335396819011347,88.60726229449443,2025-09-15 02:08:01,3.28,2,0
27.213171090641346,88.51904091871876,2025-09-15 02:13:01,4.97,1,0
27.367140913180478,88.7153273978632,2025-09-15 02:18:01,1.95,3,0
27.276525738721386,88.66362030052701,2025-09-15 02:23:01,5.52,4,0
27.34586739741897,88.64936871641135,2025-09-15 02:28:01,4.48,1,0
27.257234329955434,88.57504948935825,2025-09-15 02:33:01,1.63,5,0
27.460419222954407,88.54726808639957,2025-09-15 02:38:01,4.55,4,0
27.414028856111415,88.78853105507275,2025-09-15 02:43:01,1.35,1,0
27.212942033402218,88.51950569089055,2025-09-15 02:48:01,4.32,5,0
27.498500399983218,88.64795729781376,2025-09-15 02:53:01,3.32,5,0
27.332462088870855,88.52122842064749,2025-09-15 02:58:01,3.0,3,0
27.2990478971079,88.69969848610307,2025-09-15 03:03:01,4.21,1,0
27.238658750605136,88.47980905001387,2025-09-15 03:08:01,1.33,2,0
27.3086912447987,88.71177995456999,2025-09-15 03:13:01,2.64,3,0
27.339389429589893,88.61149986825751,2025-09-15 03:18:01,1.24,1,0
27.394574124409395,88.61864873489083,2025-09-15 03:23:01,5.7,2,0
27.433194752932238,88.60196971328632,2025-09-15 03:28:01,4.81,5,0
27.33029618699585,88.65563559909806,2025-09-15 03:33:01,1.09,5,0
27.354623427629733,88.6443850122063,2025-09-15 03:38:01,1.52,2,0
27.2724812654251,88.58896429233661,2025-09-15 03:43:01,1.9,3,0
27.22694367968794,88.60843114229513,2025-09-15 03:48:01,4.97,2,0
27.397521637099896,88.77405854540831,2025-09-15 03:53:01,5.07,2,1
27.21856818141485,88.53144216126228,2025-09-15 03:58:01,3.7,3,0
27.30109422636931,88.58012098898682,2025-09-15 04:03:01,0.14,5,0
27.342478932490554,88.45198453125194,2025-09-15 04:08:01,5.77,5,0
27.383362819965154,88.76078912363414,2025-09-15 04:13:01,2.22,5,0
